base_paper_id,variant_type,orig_score,variant_score
1JbsdayvhO,no_abstract,5.75,6.0
1JbsdayvhO,no_introduction,5.75,6.0
1JbsdayvhO,no_conclusion,5.75,6.0
468KWV14ll,no_abstract,5.25,6.0
4JtwtT4nYC,no_abstract,3.0,4.5
4JtwtT4nYC,no_introduction,3.0,4.5
4JtwtT4nYC,no_conclusion,3.0,4.75
4JtwtT4nYC,no_methods,3.0,4.5
4UP387Adir,no_abstract,3.5,4.5
4UP387Adir,no_introduction,3.5,4.5
4UP387Adir,no_conclusion,3.5,5.0
59nCKifDtm,no_conclusion,4.5,6.0
5xadJmgwix,no_introduction,5.0,5.5
760br3YEtY,no_abstract,3.0,5.25
760br3YEtY,no_introduction,3.0,4.5
760br3YEtY,no_methods,3.0,4.0
7VVGO0kuuY,no_introduction,5.0,6.0
7VVGO0kuuY,no_conclusion,5.0,5.25
7duh4Ml5rc,no_abstract,2.5,3.0
7duh4Ml5rc,no_conclusion,2.5,4.0
7duh4Ml5rc,no_methods,2.5,3.0
9FXGX00iMF,no_abstract,4.5,5.0
9FXGX00iMF,no_introduction,4.5,5.0
9FXGX00iMF,no_experiments,4.5,4.75
9FXGX00iMF,no_methods,4.5,5.25
9WD9KwssyT,no_abstract,4.0,5.25
9WD9KwssyT,no_introduction,4.0,5.0
9WD9KwssyT,no_conclusion,4.0,5.0
9WD9KwssyT,no_experiments,4.0,5.0
9WD9KwssyT,no_methods,4.0,5.0
9Wy6pLNQcG,no_conclusion,4.5,5.0
9Wy6pLNQcG,no_methods,4.5,5.0
9g8h5HwZMy,no_introduction,5.0,5.5
9g8h5HwZMy,no_conclusion,5.0,5.75
9w3iw8wDuE,no_abstract,5.0,6.0
9w3iw8wDuE,no_conclusion,5.0,5.75
CIj1CVbkpr,no_conclusion,4.5,5.75
Cc0qk6r4Nd,no_abstract,5.75,6.0
DwcV654WBP,no_abstract,5.0,5.5
DwcV654WBP,no_introduction,5.0,6.0
DwcV654WBP,no_conclusion,5.0,5.75
E296x0YpML,no_introduction,4.75,6.0
FKg1N2fAFG,no_conclusion,5.0,6.0
FRCHDhbxZF,no_abstract,5.0,5.75
FRCHDhbxZF,no_introduction,5.0,5.25
FRCHDhbxZF,no_methods,5.0,6.0
FbuyDzZTPt,no_abstract,3.5,5.0
FbuyDzZTPt,no_introduction,3.5,5.0
Gg7cXo3S8l,no_abstract,5.0,5.5
Gk75gOjtQh,no_methods,5.0,5.25
HCCkCjClO0,no_abstract,3.0,4.5
HCCkCjClO0,no_conclusion,3.0,3.5
HCCkCjClO0,no_experiments,3.0,4.5
Hk7yW3vmSq,no_introduction,4.5,5.0
Hk7yW3vmSq,no_conclusion,4.5,5.75
Hk7yW3vmSq,no_experiments,4.5,5.5
JlSyXwCEIQ,no_conclusion,4.5,5.0
JlSyXwCEIQ,no_methods,4.5,6.0
KksPo0zXId,no_introduction,3.5,5.0
KksPo0zXId,no_conclusion,3.5,5.75
KksPo0zXId,no_experiments,3.5,4.5
KksPo0zXId,no_methods,3.5,4.5
KzMMv0OygD,no_abstract,5.0,6.0
L6crLU7MIE,no_introduction,4.75,5.0
L6crLU7MIE,no_conclusion,4.75,5.25
L6crLU7MIE,no_experiments,4.75,5.0
LWwYyxF3w9,no_conclusion,3.5,4.5
LWwYyxF3w9,no_abstract,3.5,4.5
M8J0b9gNfG,no_introduction,4.5,6.0
M8J0b9gNfG,no_conclusion,4.5,5.0
M8J0b9gNfG,no_methods,4.5,5.0
N0isTh3rml,no_conclusion,4.5,5.5
N0isTh3rml,no_experiments,4.5,5.0
NSVtmmzeRB,no_abstract,5.0,6.0
NSVtmmzeRB,no_experiments,5.0,6.0
NSVtmmzeRB,no_methods,5.0,6.0
OJoMzslBIa,no_abstract,4.5,5.0
PCm1oT8pZI,no_abstract,3.0,5.0
PCm1oT8pZI,no_introduction,3.0,4.5
PCm1oT8pZI,no_conclusion,3.0,5.5
PCm1oT8pZI,no_experiments,3.0,4.5
PCm1oT8pZI,no_methods,3.0,4.5
Q9R10ZKd8z,no_introduction,5.0,5.25
QO3yH7X8JJ,no_conclusion,5.5,6.0
QcgvtqxRhI,no_abstract,3.5,5.5
QcgvtqxRhI,no_introduction,3.5,5.0
QcgvtqxRhI,no_conclusion,3.5,5.0
Qox9rO0kN0,no_abstract,5.0,5.75
RN2lIjrtSR,no_conclusion,5.5,5.75
RVaUSKSh9t,no_introduction,3.0,4.75
RVaUSKSh9t,no_experiments,3.0,4.5
RVaUSKSh9t,no_methods,3.0,4.0
SXj1qjFEpQ,no_abstract,4.5,6.0
SXj1qjFEpQ,no_methods,4.5,5.0
SqMVI1GFnp,no_introduction,3.0,4.5
SqMVI1GFnp,no_conclusion,3.0,5.0
SqMVI1GFnp,no_methods,3.0,4.5
TKDwsJmrDJ,no_abstract,4.0,5.25
TKDwsJmrDJ,no_conclusion,4.0,4.5
UbxWjq0UO2,no_introduction,4.5,5.0
UbxWjq0UO2,no_conclusion,4.5,5.25
UbxWjq0UO2,no_experiments,4.5,5.25
WLgbjzKJkk,no_abstract,4.5,6.0
WLgbjzKJkk,no_introduction,4.5,5.25
WLgbjzKJkk,no_conclusion,4.5,5.75
WLgbjzKJkk,no_experiments,4.5,4.75
YhwDw31DGI,no_abstract,3.0,4.5
YhwDw31DGI,no_experiments,3.0,4.5
YhwDw31DGI,no_methods,3.0,4.5
bAXmvOLtjA,no_abstract,5.0,6.0
