base_paper_id,variant_type,original_decision,variant_decision,changed
07xuZw59uB,no_abstract,Reject,Reject,False
07xuZw59uB,no_introduction,Reject,Reject,False
07xuZw59uB,no_conclusion,Reject,Reject,False
07xuZw59uB,no_experiments,Reject,Reject,False
07xuZw59uB,no_methods,Reject,Reject,False
1JbsdayvhO,no_abstract,Reject,Accept,True
1JbsdayvhO,no_introduction,Reject,Accept,True
1JbsdayvhO,no_conclusion,Reject,Accept,True
1JbsdayvhO,no_experiments,Reject,Reject,False
1JbsdayvhO,no_methods,Reject,Reject,False
3rmpixOjPS,no_abstract,Reject,Reject,False
3rmpixOjPS,no_introduction,Reject,Accept,True
3rmpixOjPS,no_conclusion,Reject,Reject,False
3rmpixOjPS,no_experiments,Reject,Reject,False
3rmpixOjPS,no_methods,Reject,Reject,False
468KWV14ll,no_abstract,Reject,Accept,True
468KWV14ll,no_introduction,Reject,Reject,False
468KWV14ll,no_conclusion,Reject,Reject,False
468KWV14ll,no_experiments,Reject,Reject,False
468KWV14ll,no_methods,Reject,Reject,False
4JtwtT4nYC,no_abstract,Reject,Accept,True
4JtwtT4nYC,no_introduction,Reject,Reject,False
4JtwtT4nYC,no_conclusion,Reject,Accept,True
4JtwtT4nYC,no_experiments,Reject,Reject,False
4JtwtT4nYC,no_methods,Reject,Reject,False
4UP387Adir,no_abstract,Reject,Reject,False
4UP387Adir,no_introduction,Reject,Reject,False
4UP387Adir,no_conclusion,Reject,Reject,False
4UP387Adir,no_experiments,Reject,Reject,False
4UP387Adir,no_methods,Reject,Reject,False
59nCKifDtm,no_abstract,Reject,Reject,False
59nCKifDtm,no_introduction,Reject,Reject,False
59nCKifDtm,no_conclusion,Reject,Accept,True
59nCKifDtm,no_experiments,Reject,Reject,False
59nCKifDtm,no_methods,Reject,Reject,False
5xadJmgwix,no_abstract,Reject,Reject,False
5xadJmgwix,no_introduction,Reject,Reject,False
5xadJmgwix,no_conclusion,Reject,Reject,False
5xadJmgwix,no_experiments,Reject,Reject,False
5xadJmgwix,no_methods,Reject,Reject,False
760br3YEtY,no_abstract,Reject,Reject,False
760br3YEtY,no_introduction,Reject,Reject,False
760br3YEtY,no_conclusion,Reject,Reject,False
760br3YEtY,no_experiments,Reject,Reject,False
760br3YEtY,no_methods,Reject,Reject,False
7VVGO0kuuY,no_abstract,Reject,Reject,False
7VVGO0kuuY,no_introduction,Reject,Accept,True
7VVGO0kuuY,no_conclusion,Reject,Reject,False
7VVGO0kuuY,no_experiments,Reject,Reject,False
7VVGO0kuuY,no_methods,Reject,Reject,False
7duh4Ml5rc,no_abstract,Reject,Reject,False
7duh4Ml5rc,no_introduction,Reject,Reject,False
7duh4Ml5rc,no_conclusion,Reject,Reject,False
7duh4Ml5rc,no_experiments,Reject,Reject,False
